thesaurus,keyword,type
LTER controlled vocabulary,urban,theme
LTER controlled vocabulary,eddy covariance,theme
LTER controlled vocabulary,weather,theme
LTER controlled vocabulary,evaporation,theme
LTER controlled vocabulary,climate,theme
LTER core areas,climate and heat,theme
LTER core areas,water and fluxes,theme
LTER core areas,land use and land cover change,theme
LTER core areas,human-environment interactions,theme
Creator Defined Keyword Set,surface energy balance,theme
CAPLTER Keyword Set List,cap lter,theme
CAPLTER Keyword Set List,cap,theme
CAPLTER Keyword Set List,caplter,theme
CAPLTER Keyword Set List,central arizona phoenix long term ecological research,theme
CAPLTER Keyword Set List,arizona,place
CAPLTER Keyword Set List,az,place
CAPLTER Keyword Set List,arid land,theme
